Country,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
European Union (27),6.34456,6.70404,6.26056,5.97335,5.4293,5.37392,5.18174,5.1514,4.85851,5.29682,5.36991,4.43213,5.76075,5.4072,5.46548,5.29854,5.38658,5.41145,5.50032,5.41941,5.27179,4.93752,5.28551,5.53994,4.56677,4.80117,5.0662,5.3822,5.59606,5.7975,5.68515,5.50966,5.81409,6.04924,6.11866,6.50144,6.77574,6.11184,6.07106,6.63224,6.68651,7.0833,7.71387,8.49501,9.5981,10.4757,10.6874,12.1314,13.2079,14.1176,14.2211,14.2327,14.0292,15.0978,15.8124,18.4475,17.8116,18.6008,21.2943,22.2908
Finland,22.8459,22.266,23.7233,19.6663,14.8714,14.6978,16.0661,14.7974,13.6765,17.1573,16.222,11.846,14.4238,11.1568,11.4598,10.8153,14.3719,13.9542,14.6286,13.6876,12.1325,12.0474,12.7459,12.4244,12.0592,14.4704,15.9936,17.6475,17.0668,15.3382,17.2082,14.9453,16.8527,19.7551,17.504,19.1627,17.238,15.8421,14.2476,18.999,19.045,17.1173,18.3514,21.7948,18.6151,19.1225,20.4778,24.392,22.1497,24.1949,27.5153,25.9353,27.9902,27.9903,28.5909,32.5881,35.036,34.8967,35.888,38.8944
France,9.72761,10.6966,8.80166,9.34801,8.94207,8.88131,7.42645,6.99003,6.29355,7.52802,8.47563,6.48463,9.90955,8.58265,8.12334,8.55539,9.02458,9.16438,8.83394,8.10024,7.40957,7.30924,8.05381,8.61663,5.27152,5.93629,5.94082,7.0186,6.62402,8.12928,7.39587,6.50607,6.4471,6.11982,7.02046,6.40931,7.07225,5.87939,5.67474,5.68358,5.12181,5.70246,6.35592,7.31892,7.40899,7.88173,6.92994,8.71442,9.85745,9.88469,9.56842,10.362,9.8032,11.5131,11.7539,13.9716,12.9142,13.7259,15.8667,16.4654
Germany,1.51814,1.6378,1.55936,1.48208,1.1148,1.42982,1.11252,1.05825,1.1445,1.33774,1.35376,1.05808,1.31788,1.3295,1.2699,1.39672,1.48689,1.52866,1.4161,1.35821,1.24971,1.3333,1.42633,1.41908,1.32361,1.26395,1.20205,1.43796,1.49771,1.64612,1.78781,1.59311,1.70876,1.86775,2.11201,2.73815,2.79769,3.36545,3.47666,4.31567,4.99235,5.79701,7.36963,7.52273,8.14682,8.46544,10.1679,11.4599,11.6032,12.8399,14.3184,14.1012,15.3878,16.2628,17.8112,20.0172,18.0825,20.3292,23.603,23.968
Greece,2.81636,5.56585,4.84868,3.84253,5.47018,6.31824,5.33208,4.79635,3.4587,3.7357,2.8279,2.38617,2.35353,3.59857,4.89411,4.71743,4.8308,4.98208,3.25196,3.81067,3.53511,4.06979,3.19767,2.57665,1.9082,1.71412,2.96085,2.07439,2.15671,2.40041,3.13148,3.76012,3.26492,2.9708,3.73282,3.09181,2.16449,2.62108,4.05153,4.05027,4.33495,5.1487,3.17061,3.90826,5.67482,7.69592,6.05783,7.96702,11.7948,10.7455,12.7956,12.9752,11.4491,13.1635,13.4762,16.7849,19.1996,18.7826,20.7542,21.0549
High-income countries,6.55179,6.59174,6.49567,6.26547,6.13811,5.97373,6.08218,6.04701,5.74796,6.39829,6.52416,5.95154,5.86116,6.11736,6.19876,6.34262,6.5459,6.94527,7.25149,6.98302,6.46679,6.3945,6.20036,6.02588,5.86529,6.08792,6.1812,6.14728,6.41843,6.27111,6.50473,6.37388,6.55479,6.45838,6.44773,6.42537,6.1406,6.16907,6.05016,6.19033,6.32309,6.50202,6.57841,6.99445,7.59405,7.62719,8.0822,8.50488,8.93497,9.19089,9.45344,9.77622,10.1072,10.3726,10.7288,12.2228,12.0704,12.4506,13.1588,13.733
Hong Kong,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.000649379,0.000756718,0.000752789,0.000933929,0.0528915,0.136636,0.0606064,0.160253,0.150702,0.204579,0.205576,0.209101,0.240127,0.252915,0.462096,0.65413,0.926665,1.04766,1.0481
Hungary,0.112636,0.148192,0.127337,0.133209,0.132777,0.11416,0.12062,0.133864,0.113504,0.0883229,0.167888,0.159074,0.136618,0.118308,0.126402,0.0966728,0.146497,0.138036,0.136987,0.155775,0.129309,0.1291,0.13569,0.138962,0.133382,0.169841,0.203919,0.201754,0.209719,0.20793,0.219557,0.250977,0.269282,0.214148,0.244715,0.249204,0.256384,0.23766,0.345416,0.984593,1.88239,1.55686,2.04238,3.09454,3.94652,3.99902,3.67172,3.80686,4.11505,4.81987,4.59273,4.5672,4.45448,4.84008,5.63199,6.80651,7.72425,8.95731,10.8857,12.706
Iceland,23.8306,22.1048,23.7853,23.2368,29.3211,40.2115,40.2264,41.1348,43.5691,45.9018,47.0369,48.4905,49.0721,48.6153,50.9826,54.4673,55.3887,60.156,61.4546,60.7388,60.1578,60.8701,60.3669,60.8461,59.5704,59.0827,60.2947,59.7037,59.7771,59.7737,60.3331,58.5789,61.0434,63.5587,66.5657,67.0538,68.9861,69.0603,69.0092,68.2832,68.1118,70.7601,74.3372,81.0164,82.4912,83.047,83.3196,83.6989,83.2811,83.0118,82.1684,80.357,79.3032,78.6996,80.8431,86.1264,84.4943,82.0753,81.8433,80.4981
India,8.64287,8.75806,9.50695,10.2671,10.2833,11.1507,11.7631,10.8444,11.3163,10.2715,11.4214,11.3922,11.753,14.0481,12.8264,12.7432,12.261,10.4371,9.55796,10.0008,9.1398,8.66166,7.58223,7.77133,8.25714,8.06839,8.53088,7.68687,7.58807,8.18742,7.25806,6.40845,6.20208,6.9714,6.73485,6.0416,5.69308,5.21753,5.14373,6.88662,6.35904,7.13375,7.27644,6.71201,5.9647,6.05677,6.96714,6.20846,6.74999,6.8288,6.3568,6.36976,6.79277,7.30738,8.10807,8.89271,8.65678,9.42121,8.86095,9.14644
